Gene_ID,Product description,Gene Identification,MIS,MFS
PF3D7_1323100,"60S ribosomal protein L6, putative",Non - Mutable in CDS,0.119,-3
PF3D7_1323200,"V-type proton ATPase subunit G, putative",Non - Mutable in CDS,0.354,-3.572
PF3D7_1323300,"acetyltransferase, GNAT family, putative",Mutable in CDS,1,-2.363
PF3D7_1323400,60S ribosomal protein L23,Non - Mutable in CDS,0.304,-2.603
PF3D7_1323500,plasmepsin V,Non - Mutable in CDS,0.136,-2.863
PF3D7_1323600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.187,-2.568
PF3D7_1323700,glideosome associated protein with multiple membrane spans 1,Non - Mutable in CDS,0.254,-2.63
PF3D7_1323800,"vacuolar protein sorting-associated protein 52, putative",Non - Mutable in CDS,0.17,-2.878
PF3D7_1323900,"protein BCP1, putative",Non - Mutable in CDS,0.142,-2.739
PF3D7_1324000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.533
PF3D7_1324100,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.121,-2.898
PF3D7_1324200,"micro-fibrillar-associated protein, putative",Non - Mutable in CDS,0.603,-2.402
PF3D7_1324300,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,-1.063
PF3D7_1324400,"MSF1-like protein, putative",Non - Mutable in CDS,0.121,-2.925
PF3D7_1324500,"DEAD box helicase, putative",Non - Mutable in CDS,0.143,-3.241
PF3D7_1324600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.889
PF3D7_1324700,"SNARE protein, putative",Non - Mutable in CDS,0.121,-3.22
PF3D7_1324800,dihydrofolate synthase/folylpolyglutamate synthase,Non - Mutable in CDS,0.123,-3.03
PF3D7_1324900,L-lactate dehydrogenase,Non - Mutable in CDS,0.159,-2.887
PF3D7_1325000,"U6 snRNA-associated Sm-like protein LSm6, putative",Non - Mutable in CDS,0.659,-2.166
PF3D7_1325100,phosphoribosylpyrophosphate synthetase,Non - Mutable in CDS,0.218,-2.546
PF3D7_1325200,"lactate dehydrogenase, putative",Mutable in CDS,1,-0.613
PF3D7_1325300,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.97,-2.912
PF3D7_1325400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.848
PF3D7_1325500,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.939,-2.737
PF3D7_1325600,"mitochondrial fission 1 protein, putative",Non - Mutable in CDS,0.632,-3.676
PF3D7_1325700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.709,-2.546
PF3D7_1325800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.16
PF3D7_1325900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.571
PF3D7_1326000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.175,-2.737
PF3D7_1326100,"WD repeat-containing protein, putative",Non - Mutable in CDS,0.261,-2.697
PF3D7_1326200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-3.033
PF3D7_1326300,"RNA-binding protein, putative",Non - Mutable in CDS,0.222,-2.712
PF3D7_1326400,"translation initiation factor eIF-2B subunit gamma, putative",Non - Mutable in CDS,0.186,-2.835
PF3D7_1326500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.797
PF3D7_1326600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.971,-2.787
PF3D7_1326700,"conserved Apicomplexan protein, unknown function",Non - Mutable in CDS,0.122,-3.141
PF3D7_1326800,"syntaxin, Qa-SNARE family",Non - Mutable in CDS,0.184,-3.444
PF3D7_1326900,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,0.992,-2.808
PF3D7_1327000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.125,-3.107
PF3D7_1327100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.484
PF3D7_1327200,"ribonuclease P protein subunit RPR2, putative",Non - Mutable in CDS,0.143,-2.899
PF3D7_1327300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.897
PF3D7_1327400,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.143,-2.538
PF3D7_1327500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.679
PF3D7_1327600,nicotinate-nucleotide adenylyltransferase,Mutable in CDS,0.754,-2.892
PF3D7_1327700,"regulator of nonsense transcripts 3B, putative",Mutable in CDS,0.988,-0.462
PF3D7_1327800,"ribose-phosphate pyrophosphokinase, putative",Mutable in CDS,0.992,-1.359
PF3D7_1327900,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.991,-1.869
PF3D7_1328000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.967
PF3D7_1328100,"proteasome subunit beta type-7, putative",Non - Mutable in CDS,0.244,-2.338
PF3D7_1328200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.256
PF3D7_1328300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.121,-3.035
PF3D7_1328400,"conserved protein, unknown function",Non - Mutable in CDS,0.122,-3.009
PF3D7_1328500,"alpha/beta-hydrolase, putative",Mutable in CDS,1,-1.416
PF3D7_1328600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.521,-2.678
PF3D7_1328800,transcriptional regulatory protein sir2a,Mutable in CDS,1,-2.06
PF3D7_1328900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.233,-3.391
PF3D7_1329000,"DNA-directed RNA polymerase III subunit RPC1, putative",Non - Mutable in CDS,0.12,-2.953
PF3D7_1329100,myosin C,Mutable in CDS,0.989,-1.921
PF3D7_1329200,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,1.454
PF3D7_1329300,"chromatin assembly factor 1 subunit, putative",Non - Mutable in CDS,0.16,-2.736
PF3D7_1329400,"AMP deaminase, putative",Mutable in CDS,0.995,-1.778
PF3D7_1329500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.283,-2.663
PF3D7_1329600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,1,-1.598
PF3D7_1329700,apicoplast calcium binding protein 1,Mutable in CDS,1,0.369
PF3D7_1329800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.884
PF3D7_1329900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.125,-3.137
PF3D7_1330000.1,"thioredoxin, putative",Non - Mutable in CDS,0.228,-2.576
PF3D7_1330100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.576,-2.301
PF3D7_1330200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.328,-2.615
PF3D7_1330300,"DnaJ protein, putative",Mutable in CDS,1,0.673
PF3D7_1330400.1,"ER lumen protein retaining receptor 1, putative, unspecified product",Non - Mutable in CDS,0.128,-3.029
PF3D7_1330500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.012
PF3D7_1330600,"elongation factor Tu, putative",Non - Mutable in CDS,0.131,-2.779
PF3D7_1330700,"GPI transamidase subunit PIG-U, putative",Non - Mutable in CDS,0.143,-3.113
PF3D7_1330800,"RNA-binding protein, putative",Non - Mutable in CDS,0.908,-2.242
PF3D7_1331000,"protein kinase, putative",Mutable in CDS,1,-1.714
PF3D7_1331100,"DNA polymerase theta, putative",Mutable in CDS,1,0.018
PF3D7_1331200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.216,-2.674
PF3D7_1331300,signal peptidase 21 kDa subunit,Non - Mutable in CDS,0.159,-2.822
PF3D7_1331400,CPW-WPC family protein,Mutable in CDS,1,-1.925
PF3D7_1331500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.339,-2.627
PF3D7_1331600,"protein tyrosine phosphatase-like protein, putative",Non - Mutable in CDS,0.145,-2.772
PF3D7_1331700,"glutamine--tRNA ligase, putative",Non - Mutable in CDS,0.205,-2.692
PF3D7_1331800,"60S ribosomal protein L23, putative",Non - Mutable in CDS,0.126,-2.947
PF3D7_1332000,"syntaxin, Qa-SNARE family",Non - Mutable in CDS,0.12,-2.83
PF3D7_1332100,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,0.139
PF3D7_1332200,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.996,-0.983
PF3D7_1332300,"trafficking protein particle complex subunit 2, putative",Non - Mutable in CDS,0.175,-2.789
PF3D7_1332400,"nucleotidyltransferase, putative",Mutable in CDS,0.956,-0.942
PF3D7_1332500,"SAM-dependent RNA methyltransferase, putative",Mutable in CDS,0.998,-2.591
PF3D7_1332600,"apurinic/apyrimidinic endonuclease Apn1, putative",Mutable in CDS,0.941,-2.627
PF3D7_1332700,"ATP-dependent RNA helicase DBP8, putative",Mutable in CDS,0.924,-2.91
PF3D7_1332800,"eukaryotic translation initiation factor 6, putative",Non - Mutable in CDS,0.961,-2.873
PF3D7_1332900,"isoleucine--tRNA ligase, putative",Non - Mutable in CDS,0.12,-3.026
PF3D7_1333000,20 kDa chaperonin,Non - Mutable in CDS,0.37,-3.541
PF3D7_1333100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-2.415
PF3D7_1333200,ubiquitin-activating enzyme,Non - Mutable in CDS,0.125,-2.915
PF3D7_1333300,"transmembrane protein Tmp21 homologue, putative",Mutable in CDS,0.93,-2.947
PF3D7_1333400,"conserved protein, unknown function",Mutable in CDS,1,0.718
PF3D7_1333500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.133,-2.931
PF3D7_1333600,"U3 small nucleolar RNA-associated protein 4, putative",Non - Mutable in CDS,0.143,-2.859
PF3D7_1333700,histone H3-like centromeric protein CSE4,Non - Mutable in CDS,0.408,-2.685
PF3D7_1333800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.693
PF3D7_1333900,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.889,-1.742
PF3D7_1334000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.161,-3.391
PF3D7_1334100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.175,-2.71
PF3D7_1334200,"chaperone binding protein, putative",Mutable in CDS,1,-2.7
PF3D7_1334300,MSP7-like protein,Mutable in CDS,1,-0.451
PF3D7_1334400,MSP7-like protein,Non - Mutable in CDS,0.12,-3.036
PF3D7_1334500,MSP7-like protein,Non - Mutable in CDS,0.232,-2.637
PF3D7_1334600,MSP7-like protein,Mutable in CDS,1,-2.12
PF3D7_1334700,MSP7-like protein,Non - Mutable in CDS,0.167,-3.236
PF3D7_1334800,MSP7-like protein,Mutable in CDS,0.993,-2.648
PF3D7_1334900,"MSP7-like protein, fragment, pseudogene",Non - Mutable in CDS,0.199,0
PF3D7_1335000,MSP7-like protein,Mutable in CDS,1,-1.197
PF3D7_1335100,merozoite surface protein 7,Non - Mutable in CDS,0.459,-2.577
PF3D7_1335200,"reticulocyte binding protein homologue 6, pseudogene",Mutable in CDS,1,-2.239
PF3D7_1335300,reticulocyte binding protein 2 homologue b,Mutable in CDS,1,-1.972
PF3D7_1335400,reticulocyte binding protein 2 homologue a,Mutable in CDS,1,-2.153
PF3D7_1335500,"DNA replication complex GINS protein, putative",Mutable in CDS,0.998,-2.582
PF3D7_1335600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.178,-2.869
PF3D7_1335700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.041
PF3D7_1335800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.926
PF3D7_1335900,thrombospondin-related anonymous protein,Non - Mutable in CDS,0.756,-2.134
PF3D7_1336000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.305,-3.419
PF3D7_1336100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.281,-2.848
PF3D7_1336200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.816,-2.335
PF3D7_1336300,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,1,-0.427
PF3D7_1336400,"RanBPM and CLTH-like protein, putative",Non - Mutable in CDS,0.258,-3.348
PF3D7_1336600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,1,-1.247
PF3D7_1336700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.983,-2.1
PF3D7_1336800,"nuclear movement protein, putative",Non - Mutable in CDS,0.459,-2.466
PF3D7_1336900,tryptophan--tRNA ligase,Non - Mutable in CDS,0.142,-3.188
PF3D7_1337000,"mitochondrial intermediate peptidase, putative",Non - Mutable in CDS,0.166,-2.778
PF3D7_1337100,protein kinase 6,Non - Mutable in CDS,0.127,-2.795
PF3D7_1337200,1-deoxy-D-xylulose 5-phosphate synthase,Non - Mutable in CDS,0.123,-2.89
PF3D7_1337300,"exoribonuclease, putative",Non - Mutable in CDS,0.12,-2.956
PF3D7_1337400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.715
PF3D7_1337500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.182
PF3D7_1337700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.128,-2.925
PF3D7_1337800,calcium-dependent protein kinase 5,Non - Mutable in CDS,0.125,-3.188
PF3D7_1337900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.178,-2.929
PF3D7_1338000,"LMBR1 domain-containing protein, putative",Mutable in CDS,0.913,-2.454
PF3D7_1338100,"26S proteasome regulatory subunit RPN3, putative",Non - Mutable in CDS,0.189,-2.887
PF3D7_1338200,"60S ribosomal protein L6-2, putative",Non - Mutable in CDS,0.657,-3.612
PF3D7_1338300,"elongation factor 1-gamma, putative",Non - Mutable in CDS,0.763,-2.447
PF3D7_1338400,"SprT-like domain-containing protein, putative",Mutable in CDS,1,-1.556
PF3D7_1338500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-3.194
PF3D7_1338600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.133,-2.96
PF3D7_1338700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-2.954
PF3D7_1338800,CPW-WPC family protein,Non - Mutable in CDS,0.328,-3.298
PF3D7_1338900,"serine/threonine protein kinase, putative",Non - Mutable in CDS,0.276,-2.61
PF3D7_1339000,"probable protein, unknown function",Non - Mutable in CDS,0.132,-2.844
PF3D7_1339300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.18,-2.719
PF3D7_1339400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.567,-2.415
PF3D7_1339500,"mitochondrial ribosomal protein L49 precursor, putative",Non - Mutable in CDS,0.331,-3.794
PF3D7_1339600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.23,-2.853
PF3D7_1339700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.687,-2.383
PF3D7_1339800,"mitotic-spindle organizing protein 1, putative",Non - Mutable in CDS,0.279,-3.996
PF3D7_1339900,"ABC transporter B family member 5, putative",Mutable in CDS,0.998,-2.39
PF3D7_1340000,"secreted ookinete protein, putative",Mutable in CDS,1,-0.982
PF3D7_1340100,"exosome complex component RRP42, putative",Non - Mutable in CDS,0.274,-2.601
PF3D7_1340200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.125,0
PF3D7_1340300,"nucleolar complex protein 2, putative",Non - Mutable in CDS,0.121,-3.185
PF3D7_1340400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.827,-2.528
PF3D7_1340500,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.999,-2.41
PF3D7_1340600,"RNA lariat debranching enzyme, putative",Non - Mutable in CDS,0.25,-2.756
PF3D7_1340700,ras-related protein Rab-11B,Non - Mutable in CDS,0.91,-2.07
PF3D7_1340800,"mitochondrial pyruvate carrier protein 1, putative",Non - Mutable in CDS,0.119,-3.235
PF3D7_1340900,sodium-dependent phosphate transporter,Non - Mutable in CDS,0.238,-2.841
PF3D7_1341200,"60S ribosomal protein L18, putative",Non - Mutable in CDS,0.12,-3.117
PF3D7_1341300,"60S ribosomal protein L18-2, putative",Non - Mutable in CDS,0.929,-2.826
PF3D7_1341500,"inner membrane complex suture component, putative",Non - Mutable in CDS,0.239,-2.623
PF3D7_1341600,GPI mannosyltransferase 3,Non - Mutable in CDS,0.488,-2.397
PF3D7_1341700,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.16,-3.068
PF3D7_1341800,"inner membrane complex protein 1k, putative",Non - Mutable in CDS,0.269,-2.726
PF3D7_1341900,"V-type proton ATPase subunit D, putative",Non - Mutable in CDS,0.122,-3.354
PF3D7_1342000,40S ribosomal protein S6,Non - Mutable in CDS,0.127,-2.986
PF3D7_1342100,aconitate hydratase,Mutable in CDS,0.807,-2.209
PF3D7_1342200,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.121,-3.014
PF3D7_1342300,"tetratricopeptide repeat protein, putative",Non - Mutable in CDS,0.132,-3.302
PF3D7_1342400,casein kinase II beta chain,Mutable in CDS,1,-2.043
PF3D7_1342500,sporozoite protein essential for cell traversal,Non - Mutable in CDS,0.151,-3.061
PF3D7_1342600,myosin A,Non - Mutable in CDS,0.138,-3.027
PF3D7_1342800,phosphoenolpyruvate carboxykinase,Non - Mutable in CDS,0.265,-2.655
PF3D7_1342900,transcription factor with AP2 domain(s),Mutable in CDS,1,-1.975
PF3D7_1343000,phosphoethanolamine N-methyltransferase,Non - Mutable in CDS,0.129,-3.113
PF3D7_1343100,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.206,-2.635
PF3D7_1343200,"tRNA guanosine-2'-O-methyltransferase, putative",Mutable in CDS,1,-0.659
PF3D7_1343300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.161,-2.76
PF3D7_1343400,"DNA repair protein RAD5, putative",Mutable in CDS,1,-2.147
PF3D7_1343500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3.21
PF3D7_1343600,"UDP-N-acetylglucosamine pyrophosphorylase, putative",Non - Mutable in CDS,0.129,-3.188
PF3D7_1343700,kelch protein K13,Non - Mutable in CDS,0.122,-2.96
PF3D7_1343800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.279
PF3D7_1343900,"U4/U6 small nuclear ribonucleoprotein PRP4, putative",Non - Mutable in CDS,0.131,-2.85
PF3D7_1344000,"aminomethyltransferase, putative",Non - Mutable in CDS,0.172,-2.765
PF3D7_1344100,"krox-like protein, putative",Mutable in CDS,1,-1.13
PF3D7_1344200,"heat shock protein 110, putative",Non - Mutable in CDS,0.143,-2.839
PF3D7_1344300,"zinc finger protein, putative",Mutable in CDS,1,-0.633
PF3D7_1344400,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.114
PF3D7_1344500,"U6 snRNA phosphodiesterase, putative",Non - Mutable in CDS,0.16,-3.243
PF3D7_1344600,lipoyl synthase,Non - Mutable in CDS,0.135,-2.807
PF3D7_1344700,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.963,-1.114
PF3D7_1344800,aspartate carbamoyltransferase,Non - Mutable in CDS,0.408,-2.437
PF3D7_1344900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.203,-2.722
PF3D7_1345000,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.261,-2.545
PF3D7_1345100,thioredoxin 2,Non - Mutable in CDS,0.122,-3.166
PF3D7_1345200,"rhomboid protease ROM6, putative",Non - Mutable in CDS,0.138,-3.131
PF3D7_1345300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.068
PF3D7_1345400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.244,-2.732
PF3D7_1345500,ubiquitin-conjugating enzyme E2,Non - Mutable in CDS,0.119,-2.878
PF3D7_1345600,inner membrane complex protein,Non - Mutable in CDS,0.763,-2.334
PF3D7_1345700,"isocitrate dehydrogenase [NADP], mitochondrial",Non - Mutable in CDS,0.121,-3.089
PF3D7_1345800,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.24
PF3D7_1345900,"kinetochore protein SPC25, putative",Non - Mutable in CDS,0.124,-3.059
PF3D7_1346000,"dynactin subunit 2, putative",Mutable in CDS,1,0.419
PF3D7_1346100,protein transport protein SEC61 subunit alpha,Non - Mutable in CDS,0.996,-2.116
PF3D7_1346200,"nuclear import protein MOG1, putative",Non - Mutable in CDS,0.119,-3.011
PF3D7_1346300,DNA/RNA-binding protein Alba 2,Non - Mutable in CDS,0.983,-1.756
PF3D7_1346400,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.989,-2.768
PF3D7_1346500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.119,-3.049
PF3D7_1346600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.937,-0.261
PF3D7_1346700,6-cysteine protein,Mutable in CDS,1,-1.876
PF3D7_1346800,6-cysteine protein,Non - Mutable in CDS,0.288,-2.563
PF3D7_1346900,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.968,-2.872
PF3D7_1347000,"WD repeat-containing protein 92, putative",Non - Mutable in CDS,0.521,-2.384
PF3D7_1347100,"DNA topoisomerase 3, putative",Non - Mutable in CDS,0.391,-2.648
PF3D7_1347200,nucleoside transporter 1,Non - Mutable in CDS,0.122,-3.111
PF3D7_1347300,"conserved Plasmodium membrane protein, unknown function",Mutable in CDS,0.997,-0.832
PF3D7_1347400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.126,-3.075
PF3D7_1347500,DNA/RNA-binding protein Alba 4,Non - Mutable in CDS,0.12,-3.068
PF3D7_1347600,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.694
PF3D7_1347700,ethanolamine-phosphate cytidylyltransferase,Non - Mutable in CDS,0.622,-2.514
PF3D7_1347800,leucine-rich repeat protein,Non - Mutable in CDS,0.196,-3.295
PF3D7_1347900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.147,-3.168
PF3D7_1348000,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.929,-2.826
PF3D7_1348100,"GTPase, putative",Non - Mutable in CDS,0.316,-2.437
PF3D7_1348200,"step II splicing factor, putative",Non - Mutable in CDS,0.148,-2.89
PF3D7_1348300,"elongation factor Tu, putative",Non - Mutable in CDS,0.12,-3.032
PF3D7_1348400,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.156,-2.777
PF3D7_1348500,"TBC domain protein, putative",Non - Mutable in CDS,0.165,-2.958
PF3D7_1348600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-3
PF3D7_1348700,"WD repeat-containing protein 16, putative",Mutable in CDS,1,0.652
PF3D7_1348800,"E1-E2 ATPase, putative",Mutable in CDS,1,-1.492
PF3D7_1348900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.997,-1.861
PF3D7_1349000,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.461,-3.156
PF3D7_1349100,"nucleoside diphosphate hydrolase, putative",Mutable in CDS,0.957,-0.916
PF3D7_1349200,"glutamate--tRNA ligase, putative",Non - Mutable in CDS,0.119,-2.972
PF3D7_1349300,tyrosine kinase-like protein,Mutable in CDS,0.927,-2.909
PF3D7_1349400,"cytidine and deoxycytidylate deaminase, putative",Mutable in CDS,0.808,-3.076
PF3D7_1349500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.275,-2.679
PF3D7_1349600,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.228,-3.204
PF3D7_1349700,"peptidase, putative",Mutable in CDS,0.82,0.797
PF3D7_1349800,"nucleolar preribosomal associated cytoplasmic ATPase, putative",Non - Mutable in CDS,0.129,-3.171
PF3D7_1349900,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.924,-2.171
PF3D7_1350000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.106
PF3D7_1350100,lysine--tRNA ligase,Non - Mutable in CDS,0.329,-2.517
PF3D7_1350200,"small nuclear ribonucleoprotein E, putative",Non - Mutable in CDS,0.929,0
PF3D7_1350300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.853,-2.368
PF3D7_1350400,"ubiquitin-activating enzyme E1, putative",Non - Mutable in CDS,0.172,-2.748
PF3D7_1350500,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.145,-2.888
PF3D7_1350600,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.267,-3.216
PF3D7_1350700,"N6-adenine-specific methylase, putative",Non - Mutable in CDS,0.133,-3.034
PF3D7_1350800,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.608,-2.866
PF3D7_1350900,transcription factor with AP2 domain(s),Non - Mutable in CDS,0.995,-2.054
PF3D7_1351000,"phosphatidylinositol transfer protein, putative",Mutable in CDS,1,-1.852
PF3D7_1351100,"conserved protein, unknown function",Non - Mutable in CDS,0.154,-3.307
PF3D7_1351200,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.122,-3.079
PF3D7_1351300,"conserved Plasmodium membrane protein, unknown function",Non - Mutable in CDS,0.152,-2.616
PF3D7_1351400,"60S ribosomal protein L17, putative",Non - Mutable in CDS,0.212,-3.294
PF3D7_1351600,glycerol kinase,Mutable in CDS,1,-1.682
PF3D7_1351700,"inner membrane complex protein 1f, putative",Mutable in CDS,1,-2.301
PF3D7_1351800.1,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,1,0
PF3D7_1351900,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.828
PF3D7_1352000,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.77,-3.03
PF3D7_1352100,"ABC transporter B family member 6, putative",Non - Mutable in CDS,0.129,-2.87
PF3D7_1352200,"U3 small nucleolar RNA-associated protein 15, putative",Mutable in CDS,0.729,-2.182
PF3D7_1352300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.152,-3.3
PF3D7_1352400,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-2.991
PF3D7_1352500,"thioredoxin-related protein, putative",Non - Mutable in CDS,0.195,-3.317
PF3D7_1352600,"protein kinase, putative",Mutable in CDS,0.962,-2.929
PF3D7_1352700,"P-loop containing nucleoside triphosphate hydrolase, putative",Non - Mutable in CDS,0.123,-2.897
PF3D7_1352800,"vacuolar fusion protein MON1, putative",Non - Mutable in CDS,0.122,-3.008
PF3D7_1352900,"Plasmodium exported protein, unknown function",Mutable in CDS,0.983,-2.343
PF3D7_1353000,"tryptophan-rich protein, pseudogene",Non - Mutable in CDS,0.151,-2.783
PF3D7_1353100,"Plasmodium exported protein, unknown function",Mutable in CDS,1,-0.31
PF3D7_1353200,membrane associated histidine-rich protein,Non - Mutable in CDS,0.91,0
PF3D7_1353300,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.963
PF3D7_1353400,"Ran-binding protein, putative",Mutable in CDS,1,0.753
PF3D7_1353500,"RNA polymerase II transcription factor B subunit 4, putative",Non - Mutable in CDS,0.12,-2.95
PF3D7_1353600,ER lumen protein retaining receptor,Non - Mutable in CDS,0.137,-2.972
PF3D7_1353700,"reactive oxygen species modulator 1, putative",Non - Mutable in CDS,0.132,-3.072
PF3D7_1353800,"proteasome subunit alpha type-4, putative",Non - Mutable in CDS,0.13,-3.135
PF3D7_1353900,"proteasome subunit alpha type-7, putative",Non - Mutable in CDS,0.167,-2.941
PF3D7_1354000,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,0.629
PF3D7_1354100,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-1.927
PF3D7_1354200,"inositol-polyphosphate 5-phosphatase, putative",Mutable in CDS,1,-1.869
PF3D7_1354300,"large subunit rRNA methyltransferase, putative",Non - Mutable in CDS,0.133,-2.886
